1,19,30.0
1,21,30.0
1,24,30.0
1,27,30.0
2,4,30.0
2,18,30.0
2,29,30.0
3,5,30.0
3,7,30.0
3,10,30.0
3,17,30.0
4,2,30.0
4,9,30.0
4,16,30.0
4,22,30.0
5,3,30.0
5,15,30.0
5,20,30.0
6,11,30.0
7,3,30.0
7,18,30.0
7,29,30.0
8,16,30.0
8,19,30.0
8,23,30.0
8,29,30.0
9,4,30.0
9,26,30.0
9,28,30.0
9,30,30.0
10,3,30.0
10,11,30.0
10,13,30.0
10,19,30.0
11,6,30.0
11,10,30.0
11,14,30.0
11,23,30.0
11,28,30.0
12,25,30.0
13,10,30.0
13,20,30.0
14,11,30.0
14,15,30.0
14,16,30.0
14,22,30.0
15,5,30.0
15,14,30.0
15,16,30.0
15,21,30.0
15,27,30.0
15,30,30.0
16,4,30.0
16,8,30.0
16,14,30.0
16,15,30.0
16,22,30.0
16,23,30.0
16,24,30.0
17,3,30.0
17,26,30.0
18,2,30.0
18,7,30.0
18,28,30.0
19,1,30.0
19,8,30.0
19,10,30.0
20,5,30.0
20,13,30.0
20,24,30.0
21,1,30.0
21,15,30.0
22,4,30.0
22,14,30.0
22,16,30.0
22,27,30.0
23,8,30.0
23,11,30.0
23,16,30.0
23,25,30.0
24,1,30.0
24,16,30.0
24,20,30.0
25,12,30.0
25,23,30.0
25,26,30.0
26,9,30.0
26,17,30.0
26,25,30.0
27,1,30.0
27,15,30.0
27,22,30.0
28,9,30.0
28,11,30.0
28,18,30.0
29,2,30.0
29,7,30.0
29,8,30.0
30,9,30.0
30,15,30.0
