1,11,30.0
1,21,30.0
1,28,30.0
1,6,30.0
2,16,30.0
2,18,30.0
2,20,30.0
2,29,30.0
2,9,30.0
3,13,30.0
3,19,30.0
3,24,30.0
3,7,30.0
4,20,30.0
4,22,30.0
5,12,30.0
6,1,30.0
6,22,30.0
7,22,30.0
7,27,30.0
7,3,30.0
8,12,30.0
8,16,30.0
9,14,30.0
9,2,30.0
9,23,30.0
10,24,30.0
11,1,30.0
11,15,30.0
11,17,30.0
12,16,30.0
12,5,30.0
12,8,30.0
13,3,30.0
14,26,30.0
14,9,30.0
15,11,30.0
15,17,30.0
15,22,30.0
16,12,30.0
16,2,30.0
16,8,30.0
17,11,30.0
17,15,30.0
18,2,30.0
19,24,30.0
19,3,30.0
20,2,30.0
20,4,30.0
21,1,30.0
22,15,30.0
22,25,30.0
22,27,30.0
22,4,30.0
22,6,30.0
22,7,30.0
23,30,30.0
23,9,30.0
24,10,30.0
24,19,30.0
24,3,30.0
25,22,30.0
26,30,30.0
26,14,30.0
27,22,30.0
27,7,30.0
28,1,30.0
29,2,30.0
30,23,30.0
30,26,30.0
